Rk,Player,age,proPic,WS,salary,projSalary
205,Jalen Green\greenja05,19,,0.7,$5105160,$5348280
206,JaMychal Green\greenja01,31,,2.7,$5007840,$5258280
207,Javonte Green\greenja02,28,,4.4,$5005350,
208,Jeff Green\greenje02,35,,3.9,$5000000,
209,Josh Green\greenjo02,21,,2.4,$5000000,
210,Blake Griffin\griffbl01,32,,2.1,$5000000,$5250000
211,Quentin Grimes\grimequ01,21,,1.4,$5000000,
212,Kyle Guy\guyky01,24,,0.1,$4990000,
213,Rui Hachimura\hachiru01,23,,1.4,$4916160,$6263188
214,Tyrese Haliburton\halibty01,21,,7,$4910000,$5155500
215,Tyler Hall\hallty01,24,,0,$7310000,$5155000
216,R.J. Hampton\hamptrj01,20,,-0.2,$4910000,$5155500
217,Tim Hardaway Jr.\hardati02,29,,2,$4878049,$5121951
218,James Harden\hardeja01,32,,7.6,$2641691,
219,Maurice Harkless\harklma01,28,,0.5,$4736102,
220,Jared Harper\harpeja01,24,,0.4,$4692840,$4916160
221,Montrezl Harrell\harremo01,28,,7.3,$4675830,
222,Gary Harris\harriga01,27,,2.2,$4670160,$5954454
223,Joe Harris\harrijo01,30,,0.5,$4650000,$5022000
224,Tobias Harris\harrito02,29,,5.6,$4629630,$5000000
225,Shaquille Harrison\harrish01,28,,0,$4603320,$4833600
226,Josh Hart\hartjo01,26,,4.4,$4500000,$4725000
227,Isaiah Hartenstein\harteis01,23,,5.5,$4500000,$4500000
228,Udonis Haslem\hasleud01,41,,0.1,$4458000,$4670160
229,Sam Hauser\hausesa01,24,,0.6,$4447896,
230,Jaxson Hayes\hayesja02,21,,5.1,$4437000,$5887899
231,Killian Hayes\hayeski01,20,,0.5,$4373160,$4591920
232,Gordon Hayward\haywago01,31,,2.8,$4347600,$4564980
233,Aaron Henry\henryaa01,22,,-0.1,$4347600,$4564980
234,Juancho Hernangómez\hernaju01,26,,0.9,$4259259,$4600000
235,Willy Hernangómez\hernawi01,27,,3.2,$4253357,$14508929
236,Tyler Herro\herroty01,22,,3.8,$4235160,$4437000
237,Buddy Hield\hieldbu01,29,,1.9,$4215120,$5808435
238,Haywood Highsmith\highsha01,25,,0.1,$4154400,$4362240
239,George Hill\hillge01,35,,2.3,$4087904,
240,Malcolm Hill\hillma01,26,,0.6,$4054695,$9615385
241,Solomon Hill\hillso01,30,,0,$4023600,$4215120
242,Nate Hinton\hintona01,22,,-0.1,$4004280,$5722116
243,Jaylen Hoard\hoardja01,22,,0.6,$4000000,$12402000
244,Aaron Holiday\holidaa01,25,,1.5,$4000000,$4000000
245,Jrue Holiday\holidjr01,31,,6.9,$4000000,$4000000
246,Justin Holiday\holidju01,32,,1.4,$4000000,
247,Richaun Holmes\holmeri01,28,,3.2,$3980551,
248,Rodney Hood\hoodro01,29,,0.7,$3946800,$4144320
249,Scotty Hopson\hopsosc01,32,,0,$3940184,
250,Al Horford\horfoal01,35,,7.6,$3938818,
251,Talen Horton-Tucker\hortota01,21,,1.1,$3902439,$4097561
252,Danuel House Jr.\houseda01,28,,1,$3822240,$4004280
253,Dwight Howard\howardw01,36,,3.5,$3804360,$5634257
254,Markus Howard\howarma02,22,,0.3,$3804150,
255,Kevin Huerter\huertke01,23,,2.8,$3768342,$9598214
256,Jay Huff\huffja01,23,,0,$3749520,$3936960
257,Elijah Hughes\hugheel01,23,,-0.4,$3731707,$3918293
258,Feron Hunt\huntfe01,22,,0,$3661976,$10700000
259,De'Andre Hunter\huntede01,24,,1.1,$4107149,$3925000
260,Chandler Hutchison\hutchch01,25,,0,$3631200,$3804360
261,Bones Hyland\hylanbo01,21,,2.4,$3562080,$3740160
262,Serge Ibaka\ibakase01,32,,2,$3500000,$3500000
263,Andre Iguodala\iguodan01,38,,1.6,$3500000,$3500000
264,Joe Ingles\inglejo01,34,,2.2,$3449400,$3613680
265,Brandon Ingram\ingrabr01,24,,3.9,$3383640,$3552960
266,Kyrie Irving\irvinky01,29,,3.3,$3333333,$3492063
267,Wes Iwundu\iwundwe01,27,,0.1,$3300000,$3465000
268,Frank Jackson\jacksfr01,23,,0.7,$3277080,$3433320
269,Isaiah Jackson\jacksis01,20,,1.4,$3277080,$3433320
270,Jaren Jackson Jr.\jacksja02,22,,5.4,$3261480,$5009633
271,Josh Jackson\jacksjo02,24,,0,$3214680,$3375480
272,Justin Jackson\jacksju01,26,,0,$12213507,$12372008
273,Reggie Jackson\jacksre01,31,,0.4,$3169347,
274,LeBron James\jamesle01,37,,7.5,$3113160,$3261480
