Rk,Player,age,WS,salary,projSalary,playerTeam
140,Donte DiVincenzo,25,0.7,12213507.00,12372008.00,TOT
141,Luka Dončić,22,7.6,9000000.00,9666667.00,Dallas Mavericks
142,Luguentz Dort,22,1.4,8992200.00,9441720.00,Oklahoma City Thunder
143,Ayo Dosunmu,22,3,8800000.00,9240000.00,Chicago Bulls
144,Damyean Dotson,27,0,8750000.00,9398148.00,New York Knicks
145,Devon Dotson,22,0.1,8750000.00,9000000.00,Chicago Bulls
146,Sekou Doumbouya,21,0.1,8730159.00,,Los Angeles Lakers
147,Jeff Dowtin,24,0,34967442.00,36596549.00,TOT
148,PJ Dozier,25,0.3,8678571.00,9321429.00,Denver Nuggets
149,Goran Dragić,35,0.4,8623920.00,10900635.00,TOT
150,Andre Drummond,28,5.1,8604651.00,9034884.00,TOT
151,Chris Duarte,24,0.9,8526316.00,,Indiana Pacers
152,David Duke Jr.,22,0.3,8437500.00,9062500.00,Brooklyn Nets
153,Kris Dunn,27,0.2,8372093.00,8790698.00,Portland Trail Blazers
154,Kevin Durant,33,8.4,8333333.00,9000000.00,Brooklyn Nets
155,Jaime Echenique,24,0,8326471.00,29750000.00,Washington Wizards
156,Anthony Edwards,20,4.3,8292683.00,8707317.00,Minnesota Timberwolves
157,Carsen Edwards,23,-0.1,8231760.00,8623920.00,Detroit Pistons
158,Kessler Edwards,21,0.6,8186047.00,8558140.00,Brooklyn Nets
159,Rob Edwards,25,0,8137500.00,8525000.00,Oklahoma City Thunder
160,CJ Elleby,21,0.4,8075160.00,8478720.00,Portland Trail Blazers
161,Wayne Ellington,34,1,8050000.00,7350000.00,Los Angeles Lakers
162,Joel Embiid,27,12,11109327.00,7827907.00,Philadelphia 76ers
163,James Ennis III,31,0.1,7775400.00,9835881.00,TOT
164,Drew Eubanks,24,3.4,7568742.00,,TOT
165,Tacko Fall,26,0.1,7522200.00,,Cleveland Cavaliers
166,Derrick Favors,30,1.4,7518518.00,7518518.00,Oklahoma City Thunder
167,Bruno Fernando,23,0.4,7500000.00,8100000.00,TOT
168,Dorian Finney-Smith,28,6.6,7422000.00,7775400.00,Dallas Mavericks
169,Malik Fitts,24,0.1,7280520.00,7644720.00,TOT
170,Malachi Flynn,23,1,7040880.00,8920795.00,Toronto Raptors
171,Bryn Forbes,28,1.4,7009615.00,,TOT
172,Aleem Ford,24,-0.2,7622467.00,333333.00,Orlando Magic
173,Trent Forrest,23,1.3,7000000.00,7350000.00,Utah Jazz
174,Evan Fournier,29,3.7,6984127.00,7333333.00,New York Knicks
175,De'Aaron Fox,24,2.5,6920027.00,14150000.00,Sacramento Kings
176,Melvin Frazier,25,-0.4,6720720.00,7040880.00,Oklahoma City Thunder
177,Tim Frazier,31,-0.2,6593040.00,6922440.00,TOT
178,Enes Freedom,29,1.4,6500000.00,6000000.00,Boston Celtics
179,Markelle Fultz,23,0.4,6431666.00,,Orlando Magic
180,Wenyen Gabriel,24,0.7,6395160.00,8109063.00,TOT
